title,slug,section,category,primaryKeyword,secondaryKeywords,parentArticle,parentCalculator,articleType,priorityScore,wordCount,macroContext,microContext
"TikTok Money Calculator — How We Calculate Your Earnings",how-tiktok-money-calculator-works,core,calculators/tiktok-money,tiktok money calculator,"tiktok earnings calculator;tiktok income estimator",/calculators/tiktok-money,/calculators/tiktok-money,informative,90,2000,How the TikTok money calculator estimates creator earnings,"data sources;RPM methodology;accuracy"
"How Much Money Can You Make on TikTok with 10K Followers",tiktok-money-10k-followers,core,calculators/tiktok-money,how much money 10k followers tiktok,"tiktok 10000 followers income;small creator earnings",/calculators/tiktok-money,/calculators/tiktok-money,informative,91,2000,TikTok earning potential at the 10K follower milestone,"brand deals at 10K;creator fund eligibility;growth strategies"
"How Much Money Can You Make on TikTok with 100K Followers",tiktok-money-100k-followers,core,calculators/tiktok-money,how much money 100k followers tiktok,"tiktok 100000 followers earnings;mid-tier creator income",/calculators/tiktok-money,/calculators/tiktok-money,informative,91,2000,TikTok earning potential at the 100K follower milestone,"brand deal rates;multiple income streams;full-time potential"
"How Much Money Can You Make on TikTok with 1M Followers",tiktok-money-1m-followers,core,calculators/tiktok-money,how much money 1 million followers tiktok,"tiktok millionaire;top creator earnings",/calculators/tiktok-money,/calculators/tiktok-money,informative,90,2000,TikTok earning potential at the 1M follower milestone,"celebrity tier;enterprise brand deals;diversification"
"Why Your TikTok Earnings Are Lower Than Expected",why-tiktok-earnings-low,core,calculators/tiktok-money,why tiktok earnings low,"tiktok low RPM;tiktok pay dropped",/calculators/tiktok-money,/calculators/tiktok-money,informative,88,2000,Reasons for lower than expected TikTok creator earnings,"seasonal RPM;audience geography;content type;algorithm changes"
"TikTok Engagement Rate by Niche — Complete Benchmarks",engagement-rate-by-niche,core,calculators/engagement-rate,tiktok engagement rate by niche,"niche engagement benchmarks;best engagement niches",/calculators/engagement-rate,/calculators/engagement-rate,data,93,2500,TikTok engagement rate benchmarks across content niches,"beauty;finance;fitness;comedy;education;tech"
"Why Your TikTok Engagement Rate Is Dropping",engagement-rate-dropping,core,calculators/engagement-rate,tiktok engagement rate dropping,"engagement decline;tiktok reach dropped",/calculators/engagement-rate,/calculators/engagement-rate,informative,88,2000,Causes and fixes for declining TikTok engagement rates,"algorithm changes;content fatigue;posting frequency;shadowban"
"TikTok Engagement Rate for Brand Deals — Minimum Requirements",engagement-rate-brand-deals,core,calculators/engagement-rate,tiktok engagement rate brand deals,"minimum engagement for sponsors;brand deal requirements",/calculators/engagement-rate,/calculators/engagement-rate,informative,90,2000,Engagement rate thresholds brands require for TikTok partnerships,"micro-influencer;industry minimums;how to improve for brands"
"Engagement Rate vs Views — Which Matters More on TikTok",engagement-rate-vs-views,core,calculators/engagement-rate,engagement rate vs views tiktok,"tiktok metrics importance;views or engagement",/calculators/engagement-rate,/calculators/engagement-rate,comparison,87,2000,Comparing the importance of engagement rate versus view count,"algorithm weight;brand preferences;monetization impact"
"How TikTok Algorithm Uses Engagement Rate",algorithm-engagement-rate,core,calculators/engagement-rate,tiktok algorithm engagement rate,"how algorithm works engagement;FYP ranking factors",/calculators/engagement-rate,/calculators/engagement-rate,informative,89,2000,How TikTok algorithm weighs engagement rate in content distribution,"FYP signals;watch time vs likes;distribution tiers"
