title,slug,section,category,primaryKeyword,secondaryKeywords,parentArticle,parentCalculator,articleType,priorityScore,wordCount,macroContext,microContext
"How Much Top TikTok Creators Make — Estimated Income 2026",top-tiktok-creators-income,outer,data/earnings,top tiktok creators income,"highest paid tiktokers;tiktok celebrity earnings",/data/earnings,/calculators/tiktok-money,data,90,3000,Estimated earnings of top TikTok creators and how they earn,"charli;khaby;addison;income sources;brand deals"
"TikTok Creator Economy Size — Market Data 2026",tiktok-creator-economy-size,outer,data/earnings,tiktok creator economy,"creator economy market size;tiktok economic impact",/data/earnings,,data,86,2500,Size and growth of the TikTok creator economy with market data,"total payouts;creator count;market projections;YoY growth"
"TikTok Shop GMV Growth Data and Projections",tiktok-shop-gmv-growth,outer,data/earnings,tiktok shop gmv,"tiktok shop revenue;tiktok ecommerce growth",/data/earnings,/calculators/commerce-ads/shop-profit,data,85,2000,TikTok Shop gross merchandise volume data and growth trajectory,"quarterly GMV;category breakdown;geographic expansion;projections"
"TikTok Earnings Growth Over Time — How Long to Scale",tiktok-earnings-growth-timeline,outer,data/earnings,tiktok earnings growth,"how long to make money tiktok;tiktok income timeline",/data/earnings,/calculators/tiktok-money,data,84,2000,Timeline data showing how TikTok creator earnings scale over time,"month by month;follower milestones;income inflection points"
"TikTok Likes-to-Views Ratio — What Is Normal",tiktok-likes-to-views-ratio,outer,data/engagement,tiktok likes to views ratio,"normal like ratio tiktok;tiktok views vs likes",/data/engagement,/calculators/engagement-rate,data,85,2000,Benchmark data for TikTok likes-to-views ratios by niche and size,"healthy ratios;by niche;by follower count;red flags"
"TikTok Share Rate Benchmarks by Content Type",tiktok-share-rate-benchmarks,outer,data/engagement,tiktok share rate,"tiktok shares benchmark;share to view ratio",/data/engagement,,data,82,2000,TikTok share rate benchmarks across content types and niches,"most shared content;algorithm weight;shareability factors"
"TikTok Posting Frequency vs Engagement Correlation",posting-frequency-engagement-correlation,outer,data/engagement,tiktok posting frequency engagement,"how often post tiktok;posting schedule engagement",/data/engagement,,data,83,2000,Data analysis of how posting frequency correlates with engagement,"daily;twice daily;weekly;burnout;diminishing returns"
"Micro vs Macro Influencer Engagement Rate Comparison",micro-vs-macro-engagement-rate,outer,data/engagement,micro vs macro influencer engagement,"micro influencer engagement;macro influencer engagement",/data/engagement,/calculators/engagement-rate,comparison,84,2000,Engagement rate comparison between micro and macro TikTok influencers,"by tier;by niche;brand preference;authenticity"
"TikTok Brand Deals vs Instagram Brand Deals — Rate Comparison",tiktok-vs-instagram-brand-deal-rates,outer,data/platform-comparisons,tiktok vs instagram brand deals,"influencer rates comparison;brand deal platform comparison",/data/platform-comparisons,/calculators/brand-deal-rate,comparison,86,2500,Side-by-side brand deal rate comparison between TikTok and Instagram,"by follower tier;by niche;deliverable types;negotiation"
"TikTok Live vs YouTube Live vs Twitch — Earnings Comparison",tiktok-vs-youtube-vs-twitch-live,outer,data/platform-comparisons,tiktok live vs twitch vs youtube,"live streaming earnings comparison;best platform live streaming",/data/platform-comparisons,/calculators/earnings-revenue/live-earnings,comparison,85,2500,Live streaming earnings comparison across TikTok YouTube and Twitch,"gift value;subscriber revenue;ad revenue;audience size"
"TikTok Video Length Limits and Recommendations 2026",tiktok-video-length-limits,outer,data/reference,tiktok video length,"tiktok max video length;best video length tiktok",/data/reference,/calculators/watch-time,informative,83,1500,TikTok video length limits and optimal duration recommendations,"max length;monetization requirements;algorithm preference"
"TikTok Business vs Creator Account — Differences Explained",tiktok-business-vs-creator-account,outer,data/reference,tiktok business vs creator account,"tiktok account types;business account tiktok",/data/reference,,informative,82,1500,Feature comparison between TikTok Business and Creator accounts,"analytics;music library;monetization;ads;commercial rights"
